disease_id,symptom_id,probability
D001,S001,0.9
D001,S002,0.85
D001,S003,0.88
D001,S004,0.7
D001,S005,0.8
D001,S025,0.7
D001,S019,0.6
D001,S020,0.5
D001,S021,0.3
D001,S022,0.2
D001,S009,0.4
D001,S011,0.3
D002,S001,0.88
D002,S002,0.8
D002,S003,0.9
D002,S006,0.85
D002,S004,0.65
D002,S005,0.6
D002,S010,0.45
D002,S007,0.2
D002,S011,0.2
D002,S019,0.4
D002,S020,0.3
D002,S021,0.15
D002,S022,0.25
D002,S009,0.2
D003,S030,0.98
D003,S008,0.75
D003,S009,0.8
D003,S004,0.9
D003,S003,0.8
D003,S005,0.88
D003,S011,0.5
D003,S022,0.6
D003,S023,0.5
D003,S024,0.2
D004,S007,0.92
D004,S010,0.88
D004,S003,0.7
D004,S011,0.75
D004,S004,0.3
D004,S005,0.2
D004,S022,0.4
D005,S003,0.82
D005,S012,0.95
D005,S013,0.92
D005,S014,0.7
D005,S016,0.5
D006,S020,0.85
D006,S021,0.8
D006,S019,0.75
D006,S002,0.6
D006,S001,0.3
D006,S004,0.35
D006,S003,0.3
D006,S005,0.15
D006,S006,0.3
D007,S002,0.95
D007,S016,0.85
D007,S015,0.8
D007,S003,0.88
D007,S001,0.7
D007,S007,0.3
D007,S010,0.35
D007,S011,0.6
D007,S004,0.2
D007,S005,0.25
D008,S004,0.95
D008,S017,0.9
D008,S001,0.92
D008,S018,0.85
D008,S003,0.8
D008,S022,0.6
D008,S023,0.5
D008,S008,0.2
D009,S001,0.92
D009,S002,0.9
D009,S010,0.85
D009,S007,0.75
D009,S003,0.8
D009,S011,0.7
D009,S004,0.4
D009,S005,0.5
D009,S022,0.25
D009,S025,0.6
D010,S002,0.95
D010,S026,0.9
D010,S003,0.8
D010,S010,0.7
D010,S007,0.65
D010,S001,0.4
D010,S019,0.3
D010,S004,0.25
D010,S005,0.2
D010,S025,0.2
D011,S020,0.9
D011,S021,0.9
D011,S027,0.85
D011,S019,0.4
D011,S002,0.3
D011,S003,0.2
D012,S022,0.9
D012,S023,0.85
D012,S024,0.85
D012,S029,0.8
D012,S001,0.55
D012,S003,0.5
D013,S019,0.95
D013,S001,0.8
D013,S028,0.85
D013,S004,0.6
D013,S022,0.4
