symptom_id,symptom_name,category,severity_weight
S001,fever,general,8
S002,cough,respiratory,7
S003,fatigue,general,6
S004,headache,neurological,5
S005,body_aches,musculoskeletal,6
S006,loss_of_smell,neurological,7
S007,chest_pain,cardiac,9
S008,rash,dermatological,5
S009,joint_pain,musculoskeletal,6
S010,shortness_of_breath,respiratory,8
S011,sweating,general,5
S012,frequent_urination,urinary,6
S013,excessive_thirst,metabolic,6
S014,blurred_vision,neurological,6
S015,night_sweats,general,6
S016,weight_loss,metabolic,7
S017,stiff_neck,neurological,7
S018,light_sensitivity,neurological,6
S019,sore_throat,respiratory,4
S020,runny_nose,respiratory,3
S021,sneezing,respiratory,3
S022,nausea,gastrointestinal,5
S023,vomiting,gastrointestinal,6
S024,diarrhea,gastrointestinal,6
S025,chills,general,5
S026,mucus_production,respiratory,4
S027,itchy_eyes,ophthalmic,3
S028,swollen_lymph_nodes,immune,5
S029,abdominal_pain,gastrointestinal,6
S030,high_fever,general,9
